q,in_situ_GIWAXS_1,in_situ_GIWAXS_2,in_situ_GIWAXS_3,in_situ_GIWAXS_4,in_situ_GIWAXS_5
0.2009000001192093,2.2038312,2.416406,2.3877943,2.4301562,2.5306718
0.20270000035762792,2.5139458,2.7536538,2.704736,2.7415564,2.8426435
0.20450000059604645,2.4037635,2.6246147,2.5716803,2.6087832,2.698473
0.20630000083446506,2.3931606,2.606034,2.55582,2.5833616,2.6648176
0.20810000107288362,2.2661626,2.4551558,2.4134133,2.4326441,2.506371
0.2099000013113022,2.2606788,2.451224,2.4000604,2.407152,2.4872315
0.2117000015497208,2.1809514,2.360719,2.3104823,2.3156977,2.3856032
0.21350000178813935,2.1158204,2.2745228,2.2323036,2.2419207,2.2976596
0.21530000202655797,2.094071,2.2505958,2.2026162,2.2060692,2.2576022
0.2171000022649765,2.0019934,2.1485476,2.1037588,2.0980098,2.145779
0.2189000025033951,1.9991605,2.1420171,2.0953329,2.0887845,2.1403124
0.22070000274181367,1.912225,2.0401316,1.9933028,1.9899228,2.044085
0.22250000298023226,1.9163629,2.0425732,1.9898667,1.9814693,2.0327015
0.22430000321865085,1.8623794,1.9827882,1.9253845,1.9231559,1.9596466
0.2261000034570694,1.8093246,1.922301,1.8660041,1.8605222,1.8887992
0.22790000369548802,1.7958152,1.9073879,1.848903,1.8333501,1.8631284
0.22970000393390655,1.7334242,1.8393162,1.7798029,1.7628845,1.7975044
0.23150000417232516,1.731828,1.8319275,1.7754155,1.7524743,1.7869575
0.23330000441074372,1.6656204,1.7528517,1.7085268,1.6772811,1.7089053
0.2351000046491623,1.6714014,1.7511111,1.70748,1.6731126,1.7093107
0.2369000048875809,1.629131,1.7038424,1.6502116,1.6263291,1.6597136
0.23870000512599945,1.5960602,1.6737194,1.6050341,1.5879916,1.6119194
0.24050000536441807,1.5900279,1.6636971,1.5976206,1.5697913,1.5900036
0.2423000056028366,1.5438571,1.6062562,1.550317,1.521585,1.5322676
0.2441000058412552,1.542975,1.6062484,1.5540081,1.5250636,1.528889
0.2459000060796738,1.494511,1.5519844,1.497298,1.4765993,1.4792598
0.24770000631809236,1.4974216,1.5460421,1.4903443,1.4695262,1.4714576
0.24950000655651094,1.4651728,1.512955,1.4562706,1.4315293,1.432473
0.25130000679492953,1.437178,1.4916775,1.4261602,1.3993196,1.402703
0.2531000070333481,1.435732,1.4803787,1.4166259,1.3878171,1.3872799
0.2549000072717667,1.4032197,1.445481,1.377245,1.353166,1.3435452
0.25670000751018524,1.3975236,1.4432967,1.371709,1.3501624,1.3317496
0.2585000077486039,1.3602182,1.3976719,1.3370866,1.3130685,1.2933617
0.2603000079870224,1.3722373,1.4010692,1.3382449,1.3100114,1.3017678
0.262100008225441,1.3492113,1.3735698,1.3100432,1.2808444,1.2723049
0.2639000084638596,1.3250078,1.3533903,1.2870616,1.2559296,1.2456335
0.26570000870227817,1.3186932,1.3483182,1.2769638,1.2449245,1.2349749
0.26750000894069675,1.2917756,1.3150975,1.2494136,1.2167538,1.2068363
0.2693000091791153,1.2950028,1.3104634,1.2554445,1.217753,1.2064128
0.2711000094175339,1.2643329,1.281374,1.2207276,1.1878681,1.1782036
0.2729000096559525,1.2708589,1.2949871,1.22654,1.1879429,1.1795332
0.27470000989437104,1.253376,1.2715718,1.2072929,1.168643,1.1552609
0.27650001013278963,1.2378639,1.244122,1.1839314,1.1501558,1.1303593
0.2783000103712082,1.2361854,1.2416625,1.1797477,1.1422737,1.1241684
0.2801000106096268,1.2115909,1.2229769,1.161161,1.1187906,1.1008958
0.28190001084804533,1.2142437,1.2219266,1.1575543,1.1191864,1.1003851
0.283700011086464,1.1975874,1.194383,1.131994,1.0951235,1.077892
0.2855000113248825,1.2051334,1.1987402,1.1356974,1.0972035,1.0747749
0.2873000115633011,1.189673,1.1855054,1.1220434,1.0850343,1.0614953
0.2891000118017197,1.1721276,1.1740531,1.1114655,1.0695088,1.0500895
0.29090001204013827,1.1711574,1.1722561,1.1048843,1.0643808,1.0427824
0.29270001227855685,1.1555697,1.1546514,1.0903869,1.0461597,1.0273513
0.2945000125169754,1.1601506,1.1556991,1.0920541,1.0490519,1.0277425
0.296300012755394,1.1436023,1.1381623,1.0714366,1.0323958,1.0102785
0.2981000129938126,1.1445712,1.1431118,1.0705297,1.0360433,1.0119032
0.29990001323223114,1.1340849,1.1299955,1.0597976,1.0230881,1.0020306
0.3017000134706498,1.1252477,1.1145656,1.049178,1.0122224,0.9882191
0.3035000137090683,1.124665,1.1132655,1.0437433,1.0086141,0.9820328
0.3053000139474869,1.1047767,1.0964572,1.0312767,0.9940202,0.96920216
0.3071000141859055,1.1102022,1.0991883,1.0347115,0.9953983,0.9709432
0.3089000144243241,1.0986662,1.0830055,1.0211711,0.9804928,0.9563114
0.3107000146627426,1.1032655,1.081941,1.0225257,0.9763103,0.9560385
0.3125000149011612,1.0955863,1.0741943,1.0135529,0.9687591,0.94804883
0.31430001513957984,1.0859951,1.067321,1.0054097,0.9613377,0.94140553
0.3161000153779984,1.0873815,1.0697082,1.0050585,0.95896035,0.93940246
0.31790001561641695,1.0765613,1.0573418,0.9899738,0.950566,0.92729086
0.31970001585483554,1.0770816,1.0584863,0.99254394,0.9533536,0.92504984
0.3215000160932541,1.0655887,1.0446967,0.9806091,0.9435073,0.91124153
0.3233000163316727,1.0705376,1.0462593,0.9795076,0.94022423,0.9127763
0.3251000165700913,1.0685403,1.0411341,0.98041934,0.9345679,0.9074141
0.3269000168085099,1.062244,1.0350682,0.97750384,0.9291497,0.90310526
0.3287000170469284,1.0611674,1.0366887,0.97765255,0.92767733,0.9039904
0.330500017285347,1.0506929,1.0279137,0.96638966,0.91752654,0.89557093
0.3323000175237656,1.0537442,1.0303044,0.96772915,0.91742164,0.8945779
0.33410001776218423,1.045471,1.0200202,0.9580473,0.909844,0.8851854
0.33590001800060276,1.0480348,1.0218734,0.958145,0.91188335,0.88547605
0.3377000182390213,1.0445089,1.0172982,0.95380265,0.907655,0.88156015
0.33950001847743994,1.0427818,1.0089328,0.94833827,0.90445244,0.87775415
0.3413000187158585,1.044147,1.0116962,0.94956875,0.9050958,0.87783563
0.3431000189542771,1.0337787,1.0005955,0.9403046,0.8961522,0.871074
0.34490001919269564,1.0390344,1.0047309,0.9433194,0.89891666,0.87258995
0.3467000194311142,1.0281587,0.9969052,0.93476534,0.8949892,0.86761415
